id,user_id,song_id,text,inserted_at,updated_at
c21cd891-f337-40e7-bf9a-76467faad9b3,f8ff4af7-6be3-4c97-b754-30e80376ca5e,fa1268ed-ba6b-479f-8714-4d1d185a33ee,"This song has already been suggested by Danny Lane Berry on March 17, 2015. Sorry but it can't be added to voting twice Ruby.",2016-05-05 22:28:00.75339,2016-05-05 22:28:00.75339
a748376d-0b5d-4d66-a11b-5a2b2066cdf3,f8ff4af7-6be3-4c97-b754-30e80376ca5e,fa1268ed-ba6b-479f-8714-4d1d185a33ee,Our songs database will be available in the future. Thanks,2016-05-05 22:28:15.021453,2016-05-05 22:28:15.021453
45e599af-aaa3-4fec-8704-b1306849e783,f8ff4af7-6be3-4c97-b754-30e80376ca5e,75285339-2d24-4515-9bd0-814cbf12f8bc,"Good suggestion Rich ! Unfortunately this song is not new for some deejays and dancers so it can't be added to our current monthly voting.",2016-05-01 08:50:58.808073,2016-05-01 08:50:58.808073
195e7b09-0ef4-4d49-9d25-dd590de9bf45,f8ff4af7-6be3-4c97-b754-30e80376ca5e,75285339-2d24-4515-9bd0-814cbf12f8bc,But we'll keep it as your suggestion in our database. Thank you.,2016-05-01 08:51:09.277548,2016-05-01 08:51:09.277548
49749e86-d1cf-49cd-9903-c6384a2e4435,f8ff4af7-6be3-4c97-b754-30e80376ca5e,79c2abd5-0038-4b79-bac6-aa01c03370c3,"Updated, thank you Patrice",2016-03-21 19:55:27.346829,2016-03-21 19:55:27.346829
c3ecc0d5-b786-45ea-936d-ec18c3480650,f8ff4af7-6be3-4c97-b754-30e80376ca5e,ebcca9db-5ced-4c3c-ba7c-a88980644b9f,<div>Thank you Agnès !</div>,2016-08-18 04:07:06.17064,2016-08-18 04:07:06.17064
f0ec297e-32e1-4f15-99cb-72e6a3cbf8fb,d66d74c0-7c84-4057-8943-91feb397e880,1f25d4ef-6b10-42cc-a10c-b9c0d19562d6,<div><strong>etgegteet</strong></div>,2016-07-24 11:38:36.66373,2016-07-24 11:38:36.66373
c776d340-651f-4e6c-a85f-20dc5657b9e0,d66d74c0-7c84-4057-8943-91feb397e880,1f25d4ef-6b10-42cc-a10c-b9c0d19562d6,<div>yeah</div>,2016-07-24 11:38:47.477901,2016-07-24 11:38:47.477901
69e5f618-bfa9-41f5-a975-d5afbafdb023,f683699f-bfd6-4119-8054-8fdf83706209,ebcca9db-5ced-4c3c-ba7c-a88980644b9f,"<div>I found it again on Youtube here<a href=""https://www.youtube.com/watch?v=CK2p31JhMNU""><br>https://www.youtube.com/watch?v=CK2p31JhMNU</a></div>",2016-07-24 13:29:58.517875,2016-07-24 13:29:58.517875
c87b9b13-19dc-4d0f-979b-4fc9da20553f,0bca2261-7c2c-4ffd-9709-5c9317848d1a,7614beaf-ff3e-41a3-9518-c058eb06994c,Do we import the image for our posts?  All I am getting lately is a purple box where the artwork would go.,2016-06-29 00:38:47.009068,2016-06-29 00:38:47.009068
991c619e-cde3-4e5a-a80f-0caff8b7730f,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,0d984988-4647-4ed4-aa00-b9e304a8ee14,<div>BenLoncleSoul.lnk.to/FlyMeToTheMoon</div>,2016-10-16 08:33:18.664702,2016-10-16 08:33:18.664702
9a005dc3-81ea-495d-820b-a737d8500916,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,d9bb6a7f-65a1-4b2d-9b6c-84a05b525b0e,<div>Not available in my country. Here's a snippet : https://bondicigars.com/albums/after-closing-time-1995/04-intensive-care/</div>,2016-10-21 01:08:29.623151,2016-10-21 01:08:29.623151
6aadc0ca-e9b1-4dd1-8822-4192cb5b11b6,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,f1d8e829-cc62-4009-9a4b-8259b7abe04f,<div>This video is not available for me Max</div>,2016-07-29 03:23:21.581183,2016-07-29 03:23:21.581183
a734f07f-419d-495a-bd7d-325bd7e13195,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,a0c87158-36c7-4767-a0b0-4d94fa03075d,<div>Sorry Toni but I find that one too slow for beginners</div>,2016-07-27 12:06:22.816298,2016-07-27 12:06:22.816298
65d11397-8c1f-4e4e-89b6-6cb20a11ddb1,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,79bb2c3c-cff9-425a-b4a0-9e6b525d693a,Good cover Max but not new on my side,2016-07-15 16:51:19.615692,2016-07-15 16:51:19.615692
9d8fd932-52cf-4f02-bd49-7c4ec0c0dd4f,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,66fcbee4-36ab-49ac-9820-0d90aaf87e02,Love this song Mike. Thanks for sharing and for your prayers.,2016-07-16 07:21:29.454557,2016-07-16 07:21:29.454557
851f38d1-600a-41a5-b735-71ecf7b34142,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,bda21360-c1d8-47ed-97c4-f287111bac11,Wish you all a beautiful day :-),2016-07-14 15:20:48.683114,2016-07-14 15:20:48.683114
a0a23ac9-6efe-4500-9231-234a823b07f0,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,073b31bb-773a-4e13-b136-fdca4965c81f,Nice cover but my preference goes to the Kenny Neal version (https://youtu.be/fmbfV7m7YDM),2016-07-07 18:16:08.969443,2016-07-07 18:16:08.969443
7195553b-a31d-4d31-b59f-a45779f22b47,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,8ac344e3-8343-4fd0-932c-3df06d346e43,"Thank you Danny, love that one !",2016-07-10 12:40:55.706922,2016-07-10 12:40:55.706922
98c2ba08-2605-4288-884f-ab79352272fc,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,7b1c593e-d3bf-4b0d-87c5-a542a4cbfb18,Oh sorry Mike !,2016-04-08 05:23:59.707181,2016-04-08 05:23:59.707181
69849587-1f26-472e-800a-ce5bc39fc6ed,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,26760b64-320e-4971-9308-04cca6120c19,"Great, thanks for the feedback Miranda :-)",2016-03-17 08:54:14.606374,2016-03-17 08:54:14.606374
a3e05079-b700-49fe-a1e0-e0fca322c855,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,a1bd5a3d-dc6f-496a-9e48-1da7bd0865a2,"Just for listening, too slow...",2016-03-11 23:10:36.72779,2016-03-11 23:10:36.72779
265ec635-ea99-4dc0-952b-cf49c5cc94ef,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,4f4b43d4-77cb-4592-b3fb-1e51cace8c23,"Love it Ruby. Played a few times, dancers had fun !",2016-03-06 14:46:02.872497,2016-03-06 14:46:02.872497
a9b16b3b-ddca-453f-8d99-ce59d93097df,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,60624c4b-711b-4a34-b8a8-b86ac9636d30,Mysto & Pizzi Remix : https://youtu.be/r_a_jAjujf0,2016-04-02 08:23:35.530153,2016-04-02 08:23:35.530153
f8cad9c7-1417-4a26-8f0f-99d5a062ca0b,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,2e059835-8b2d-4669-88fc-a176eb42b873,Great find Danny !,2016-03-01 16:49:54.919959,2016-03-01 16:49:54.919959
ce271d3d-82eb-49a1-9cb1-51b371383973,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,ebcca9db-5ced-4c3c-ba7c-a88980644b9f,Song not avalaible yet on Youtube Danny. May I suggest this snippet : https://amzn.com/B01C8CRGRC,2016-06-02 06:33:44.603761,2016-06-02 06:33:44.603761
5c4b3eaf-30c6-484e-92cb-c77856b5779b,f1c4798e-cda7-496d-928e-558c651180ce,0d984988-4647-4ed4-aa00-b9e304a8ee14,<div>No video available</div>,2016-10-16 16:24:03.164341,2016-10-16 16:24:03.164341
14c032e2-d0a0-424a-a2de-fb3ef6677ccf,f1c4798e-cda7-496d-928e-558c651180ce,65038591-c12b-474f-b62e-76eb3e0b0ad5,<div>No video available&nbsp;<br><br></div>,2016-10-16 16:17:00.928711,2016-10-16 16:17:00.928711
